Predicted,Id
-1753.5439146502488,1
-4164.889616406409,2
-9652.43192264142,3
-2715.2557034026077,4
-4495.53195624235,5
-9.397505661915162,6
-576.0117845654323,7
-2115.7132297870703,8
-26.647013574468644,9
-153.30031321590263,10
-465.69970010779224,11
-2810.4435875239924,12
-1064.043897788178,13
-1785.2480327335202,14
-3174.0053100798145,15
-2860.7363940186797,16
-1033.7861870214679,17
-7753.604800462804,18
-2113.317631453071,19
-3028.2463675120694,20
-128.8998984784597,21
-2286.5496823368985,22
-9660.39877023431,23
-2909.1576201573735,24
-6113.590765190585,25
-4311.753904991301,26
-1222.3116940155799,27
-1631.081317215313,28
-1878.7930566322473,29
-1598.9301909298922,30
-11742.01439305463,31
-10509.678145024276,32
-1106.1752563116472,33
-3118.588980062786,34
-399.947380972828,35
-7411.446603914144,36
-3850.0943136597125,37
-7705.316835809475,38
-2495.268511487888,39
-285.44198018749063,40
-1686.1487331848512,41
-6035.852461677425,42
-2149.1914948844515,43
-745.3479325400638,44
-5423.844384890546,45
-2210.896161348332,46
-5924.591668849523,47
-4817.996453661266,48
-3236.6588791096797,49
-488.5922727957644,50
-1354.8844069865186,51
-3265.442042944848,52
-3166.757430499146,53
-852.5105650481178,54
-2920.6509972138256,55
-3736.878811736207,56
-1778.467323606227,57
118.89003753508356,58
-9778.86045639256,59
-6746.908855555072,60
-2700.942723714059,61
-7094.7375559392385,62
-2993.860159548795,63
-325.57258072317074,64
-9861.790939111206,65
-2980.856141432261,66
-1563.5444812963108,67
-3139.871662482442,68
-6852.816811401304,69
-13560.628764538998,70
-5986.042513443986,71
-2808.4193226819257,72
-1136.27188864062,73
-310.65292736443547,74
-2932.0623207054286,75
-2398.2842745920943,76
-2042.29975595929,77
-948.2335567815478,78
-3006.8310594493855,79
-2461.9928261260247,80
-1483.4606501051342,81
-2944.3571994020544,82
-10104.086659786122,83
-5717.15673450703,84
-4594.672892081297,85
-9623.064122181395,86
219.30156582402287,87
-3667.0813035999518,88
-2889.1413396758257,89
-315.6950534033491,90
-6653.39984155867,91
-14133.289398165094,92
-911.5513837397334,93
-5247.452070294447,94
-6546.534980635412,95
-950.092637928711,96
-3294.781193705318,97
-390.6931980615158,98
-832.7981199737701,99
-2341.6673373295225,100
-384.5397035320949,101
-929.216654660723,102
-8562.04524305174,103
-3795.978203117917,104
-3770.792986574116,105
-6499.346536772458,106
-6279.392251830474,107
-6526.803745861949,108
-1726.6391683638524,109
-974.8657416254882,110
-174.24222391214306,111
-1207.374814552231,112
-864.6071465499413,113
-1034.7731072087065,114
-254.58363669697394,115
-3241.4836800241774,116
