Id,Predicted
1,-45.944695435389804
2,-85.51587724225978
3,-5685.747733319386
4,-3083.4798931178684
5,-1796.5965286590929
6,-1031.8683458573596
7,-12.043662140721938
8,-1287.646459732413
9,-2790.1413356685493
10,-1091.6166476303074
11,-1283.4561677762815
12,-34.58363532521102
13,-4572.77110999175
14,-4778.774526708451
15,-2964.995829814929
16,-5.134934543975992
17,-2352.738453800962
18,-60.55641723198629
19,-1065.207106707381
20,-3926.2586624445803
21,-7850.158593365465
22,-4652.636387690173
23,-71.61380542089589
24,-70.16518691286447
25,-120.22856500482482
26,-448.2311809064726
27,-289.63768827497523
28,-94.47357259137299
29,-4058.063501016709
30,-109.98295214922976
31,-10450.359702831296
32,-9600.12356236355
33,-6417.47741368967
34,-0.4532153424880626
35,-0.5839026695871231
36,-248.34351157478937
37,-7507.577756732621
38,-20396.379685792577
39,-3916.116757749116
40,-3104.663667154165
41,-4342.156794008842
42,-6673.013019770074
43,-78.35154147236791
44,-2276.37198033034
45,-8808.569549265643
46,-6262.862686856194
47,-5367.34137060854
48,-3768.0733192603366
49,-316.67853310470986
50,-4628.622549801975
51,-40.13293403380325
52,-270.16543848571735
53,-4672.629179565855
54,-21.67034155080709
55,0.3640716430643399
56,-7383.070933402159
57,-2735.7125358993026
58,-6460.420769447818
59,-20.9547512410484
60,-186.4525980049068
61,-4894.242306027974
62,-1680.0757568211145
63,-60.36401312086882
64,-2105.612964006341
65,-6129.642542702656
66,-75.50020132031504
67,-17.546292198826503
68,-64.31795451237987
69,-6237.07605928246
70,-16152.67428410499
71,-6939.9318728101625
72,-1538.4321437399717
73,-3112.0090532804948
74,-3809.5463226308525
75,-6.33684337021417
76,-235.67781188145318
77,-32.42808307656795
78,-2090.950645962673
79,-41.19081509285442
80,-9244.069122627685
81,-6.8958596497019915
82,-4848.9153701110645
83,-477.164904436214
84,-748.0609912260908
85,-58.65923762557518
86,-21754.9527744025
87,-9.350412815230982
88,-516.2234840503737
89,-1613.9679775766801
90,-6732.502114517044
91,-7161.000880494286
92,-19193.656102859222
93,-4460.574623470474
94,-11815.200199756076
95,-4137.038280176223
96,0.4735771093161288
97,-3587.8529423118553
98,-255.29258498593916
99,-1757.3245128143776
100,-170.990508849632
101,-1241.2917856528998
102,-1569.853783134984
103,-185.5802186084983
104,-120.30412722809835
105,-1837.6721105753263
106,-7387.27943955004
107,-5904.440619035892
108,-159.40639373268678
109,-336.3388179555356
110,-3704.3234079412523
111,-2343.875324816884
112,-170.27909214015833
113,-39.77427901358725
114,-56.86464024867963
115,-136.78654809025602
116,-6452.8182905165695
117,-1728.590288463625
118,-302.323596346667
119,-3148.8185370777383
120,-2356.6253554625846
121,-6086.039157704071
122,-7515.562109689438
123,-77.62817447836905
124,-7445.006234835181
125,-3208.262532778548
126,-3947.5494312160554
127,-2795.999540730765
128,-5961.54579266211
129,-3569.766855684236
130,-295.9235686928578
131,-11844.100042111864
132,-5823.870350332948
133,-1492.1421504535283
134,-2204.785612046968
135,-1895.9845042698623
136,-5662.128301677912
137,-17.04115975045172
138,-142.09761473904442
139,-1282.6759488541738
140,-2514.6534889424265
141,-1250.1021857355515
142,-1067.823297303125
143,-1857.1470850819642
144,-5248.171500189087
145,-9968.620453043968
146,-5325.987231904176
147,-2580.7494277883097
148,-3091.7588649929776
149,-86.2472545485199
150,-13535.032108664109
151,-6192.124959282031
152,-225.43213874315379
153,-279.6773799846227
154,-1236.740309654278
155,-39.51514209957937
156,-21.010950859946366
157,-7538.332983767217
158,-2644.2953388206283
159,-0.0820820440726033
160,-782.3418364789247
161,-4380.272508574789
162,-2573.8553903282927
163,-664.6495016064715
164,-4126.353038963561
165,-8366.081982693397
166,-23.26345892474756
167,-6502.93649611873
168,-5230.934054467079
169,-3910.5928008714304
170,-42.78434368620121
171,-20.199955745560715
172,-3783.68760011164
173,-1889.5791675589974
174,-5087.888239594402
175,-2284.360938448964
176,-469.65861455547525
177,-993.03420850751
178,-2363.140758956597
179,-3326.9200012226133
180,-2676.6814855229245
181,-28.86693525029915
182,-3553.1719538863686
183,-26.145484618790423
184,0.37120501657938276
185,-34.75881744683491
186,-1635.4255538390578
187,-0.25218465478398644
188,-83.03584202112152
189,-51.24135982956966
190,-2331.62176032373
191,-6376.008427384881
192,-1.4347361692083473
193,-2272.3466268301595
194,-1483.4112898869578
195,-1929.2832037750986
196,-3357.511507200706
197,-45.246941934909565
198,-1781.4194539634252
199,-4449.638075490169
200,-2483.485433472093
201,-4539.069308478311
202,0.6175047722248392
203,-23292.436003855673
204,-109.25810933783181
205,-5037.12337679444
206,-964.9703290879652
207,-181.3941277870921
208,-50.32167868038966
209,-25.891264069745816
210,-194.2629295029041
211,-9.52395494190069
212,2.764523621828993
213,-17975.602742735788
214,-5284.377692737005
215,-80.56000708250987
216,-42.79610116387179
217,-5605.945520637264
218,-18.333866673473448
219,-5744.500527383068
220,-1.182847432921895
221,-100.71976427256627
222,-8105.4871050049605
223,-22290.1371090704
224,23.459200693170835
225,-2526.4647477120016
226,-115.55164361701307
227,-1905.4135813693092
228,-44.300149477767334
229,-17.462891353541192
230,-12786.996624586327
231,-52.78491952452279
232,-5515.390818793275
233,1.9528308095923477
234,-3010.0287893451314
235,-2377.2212140023416
236,-6435.459773627244
237,-0.5143308208662879
238,-4019.1731378485792
239,-4443.757328762714
240,-29.931883309213255
241,-7.750127074612942
242,-3966.0593779715628
243,-8581.16553210527
244,-2331.6934875085863
245,0.8126183756542553
246,-6.007140242966246
247,-4468.567538191552
248,-2001.5356358826261
249,-103.87305308947441
250,-3251.3895885628185
251,-2023.805749257188
252,-179.81540063361012
253,-3285.8357920713293
254,-1228.9937726875028
255,-135.42329673862608
256,-9215.483237073036
257,-4302.458828917282
258,-974.0938381673401
259,-38.43389112584194
260,-90.24897652421495
261,-2381.8700956258417
262,-1652.7645175112018
263,-301.61670302937495
264,-11.504150791887653
265,-2507.1412174317543
266,-2352.698941361974
267,-4301.409083690514
268,-4272.230810593496
269,-55.34869185005111
270,-3731.093316762709
271,-17.667991893296364
272,-4097.807225254939
273,-2012.2039550454242
274,-1212.357103850645
275,-43.75799701675312
276,-2631.9098746906684
277,9.723475078800913
278,-112.33638439562937
279,-2885.8742244741948
280,-294.8818482160407
281,-1774.418677008149
282,-5022.189173608159
283,-525.9420325920817
284,-6692.3834181492875
285,-4294.977539280372
286,-3125.376021283574
287,-8765.645965888172
288,-271.4390032962809
289,-179.7417683154249
290,-52.05238882137836
291,-45.60462591152135
292,-56.68411904977031
293,1.558615598622848
294,-191.3197577519052
295,-3386.6146405475342
296,-453.19992284268494
297,-2715.9928744069016
298,-5223.397974321741
299,-2758.987335917641
300,-37.18131377405474
301,-29.03886980305166
302,-951.1441923804811
303,-19.557014719090517
304,-11283.743082282457
305,-139.71118312470824
