Id,Predicted
1,-228.17495727539062
2,-292.6423645019531
3,-4222.83056640625
4,-198.47413635253906
5,-112.99833679199219
6,-53.69062805175781
7,-31.304527282714844
8,-72.24695587158203
9,4287.849609375
10,5.474287986755371
11,-28.25360107421875
12,-66.467437744140625
13,-893.0804443359375
14,-545.26849365234375
15,-5119.55419921875
16,-80.776336669921875
17,-683.39935302734375
18,-178.25225830078125
19,-2389.975830078125
20,-6340.810546875
21,-3881.31103515625
22,-5898.396484375
23,-415.8665466308594
24,-406.8799133300781
25,-251.69076538085938
26,-122.66619873046875
27,-415.8665466308594
28,-31.304527282714844
29,-1746.178955078125
30,-95.78440856933594
31,-17444.025390625
32,-574.441162109375
33,-333.6205139160156
34,-71.123016357421875
35,-19.657039642333984
36,-333.6205139160156
37,-251.69076538085938
38,-1824.8599853515625
39,-95.78440856933594
40,-1607.2166748046875
41,-95.78440856933594
42,-5415.71044921875
43,-198.47413635253906
44,-1439.88330078125
45,-333.6205139160156
46,-4693.7294921875
47,-579.0654296875
48,-5176.3857421875
49,-315.3713684082031
50,-5870.50244140625
51,-221.98193359375
52,-221.42001342773438
53,-349.4735107421875
54,-251.69076538085938
55,-221.42001342773438
56,-6553.2744140625
57,128.36485290527344
58,-77.83976745605469
59,-221.42001342773438
60,-579.0654296875
61,-6453.94189453125
62,-2812.722900390625
63,-196.75863647460938
64,-1618.8642578125
65,2312.93212890625
66,-349.368896484375
67,-95.78440856933594
68,-188.08151245117188
69,-333.6205139160156
70,-22669.884765625
71,-5734.404296875
72,-579.0654296875
73,-71.722015380859375
74,-80.776336669921875
75,-31.304527282714844
76,-16.60611343383789
77,-434.8823547363281
78,124.78373718261719
79,-163.42010498046875
80,-221.42001342773438
81,-102.53933715820312
82,-189.26271057128906
83,-251.69076538085938
84,-196.75863647460938
85,-221.42001342773438
86,-17871.69140625
87,-434.8823547363281
88,-255.30526733398438
89,-19.657039642333984
90,-251.69076538085938
91,777.4754638671875
92,-19321.57421875
93,-95.78440856933594
94,-5267.5322265625
95,-221.42001342773438
96,-228.17495727539062
97,-891.0806884765625
98,-221.11878967285156
99,-71.722015380859375
100,-221.42001342773438
101,-596.081787109375
102,-409.4906311035156
103,-579.0654296875
104,-333.6205139160156
105,-150.035888671875
106,-349.4735107421875
107,-8219.3359375
108,-415.8665466308594
109,-333.6205139160156
110,-1137.33642578125
111,-315.3713684082031
112,-415.8665466308594
113,-80.776336669921875
114,-80.776336669921875
115,-314.1251525878906
116,-727.875732421875
117,-349.4735107421875
118,-727.875732421875
119,-3647.398193359375
120,-223.88894653320312
121,-3728.22509765625
122,-16263.68359375
123,-113.10295104980469
124,-7607.4169921875
125,-221.11878967285156
126,-95.78440856933594
127,-1064.23828125
128,-6742.32080078125
129,-2124.451904296875
130,-333.1409606933594
131,-8179.103515625
132,1495.1607666015625
133,-1773.779541015625
134,259.3576965332031
135,-704.58477783203125
136,-6480.560546875
137,-19.657039642333984
138,-291.00408935546875
139,-6798.02587890625
140,-113.10295104980469
141,-458.3365173339844
142,-1126.0052490234375
143,-108.65495300292969
144,-1465.91943359375
145,-291.00408935546875
146,-579.0654296875
147,-5298.60888671875
148,-1219.802490234375
149,-255.30526733398438
150,-15304.3828125
