Predicted,Id
-4781.572342457651,1
-11014.510152347268,2
-4877.77649682113,3
-2839.432345991222,4
-2839.432345991222,5
-2839.432345991222,6
-2839.432345991222,7
-4781.572342457651,8
-2839.432345991222,9
-2839.432345991222,10
-2839.432345991222,11
-2839.432345991222,12
-2839.432345991222,13
-6885.461983900085,14
-5056.054389696488,15
-2839.432345991222,16
-2839.432345991222,17
-4723.7445881951735,18
-2839.432345991222,19
-2839.432345991222,20
-7581.020451459808,21
-6968.4805144384045,22
-6968.4805144384045,23
-2839.432345991222,24
-7039.493892526043,25
-4877.77649682113,26
-4877.77649682113,27
-2839.432345991222,28
-2839.432345991222,29
-2839.432345991222,30
-11071.435950358718,31
-4723.7445881951735,32
-6814.448605812448,33
-2839.432345991222,34
-2839.432345991222,35
-7245.978906164579,36
-4877.77649682113,37
-11349.83629833592,38
-4877.77649682113,39
-2839.432345991222,40
-7523.306061414985,41
-2839.432345991222,42
-2839.432345991222,43
-4781.572342457651,44
-8980.727768099367,45
-4781.572342457651,46
-8703.944329096812,47
-4781.572342457651,48
-4781.572342457651,49
-2839.432345991222,50
-2839.432345991222,51
-2839.432345991222,52
-2839.432345991222,53
-4877.77649682113,54
-2839.432345991222,55
-11503.868206961877,56
-2839.432345991222,57
-2839.432345991222,58
-4781.572342457651,59
-8852.792756642357,60
-2839.432345991222,61
-12956.650148813696,62
-6762.088739025083,63
-5361.666663960628,64
-6968.4805144384045,65
-2839.432345991222,66
-7303.806660427057,67
-2839.432345991222,68
-9490.71483240781,69
-8852.792756642357,70
-5001.149741696134,71
-11072.898767349016,72
-2839.432345991222,73
-2839.432345991222,74
-8513.885390532741,75
-2839.432345991222,76
-6814.448605812448,77
-2839.432345991222,78
-2839.432345991222,79
-4781.572342457651,80
-2839.432345991222,81
-6814.448605812448,82
-4877.77649682113,83
-5443.18207581067,84
-8827.601980366515,85
-11446.040452699399,86
-7307.818105712048,87
-2839.432345991222,88
-4781.572342457651,89
-5001.149741696134,90
-7091.853759313408,91
-8852.792756642357,92
-2839.432345991222,93
-4877.77649682113,94
-6665.884584661602,95
-4781.572342457651,96
-2839.432345991222,97
-2839.432345991222,98
-2839.432345991222,99
-6814.448605812448,100
-4877.77649682113,101
-5001.267782275585,102
-11503.868206961877,103
-4877.77649682113,104
-2839.432345991222,105
-5001.149741696134,106
-7039.493892526043,107
-8923.806134729994,108
-7039.493892526043,109
-2839.432345991222,110
-2839.432345991222,111
-6665.884584661602,112
-2839.432345991222,113
-7581.020451459808,114
-2851.0168258429917,115
-9284.323056994488,116
-2839.432345991222,117
-15478.884466783102,118
-2839.432345991222,119
-2839.432345991222,120
-2839.432345991222,121
-4877.77649682113,122
-2839.432345991222,123
-6762.088739025083,124
-4723.7445881951735,125
-2839.432345991222,126
-4781.572342457651,127
-4877.77649682113,128
-4723.7445881951735,129
-4723.7445881951735,130
-8852.792756642357,131
-5343.396608660521,132
-2839.432345991222,133
-2839.432345991222,134
-2839.432345991222,135
-6762.088739025083,136
-2839.432345991222,137
-6814.448605812448,138
-2839.432345991222,139
-4939.851054433964,140
-2839.432345991222,141
-2839.432345991222,142
-2839.432345991222,143
-4877.77649682113,144
-8923.806134729994,145
-6819.916493287559,146
-4877.77649682113,147
-4877.77649682113,148
-4781.572342457651,149
-10865.946131196422,150
-6968.4805144384045,151
-5001.149741696134,152
-4877.77649682113,153
-2839.432345991222,154
-2839.432345991222,155
-6762.088739025083,156
-5001.149741696134,157
-2839.432345991222,158
-2839.432345991222,159
-6814.448605812448,160
-2839.432345991222,161
-2839.432345991222,162
-2839.432345991222,163
-2839.432345991222,164
-7091.853759313408,165
-2839.432345991222,166
-7948.477091016921,167
-2839.432345991222,168
-2839.432345991222,169
-4723.7445881951735,170
-2839.432345991222,171
-5043.789434405049,172
-2839.432345991222,173
-2839.432345991222,174
-2839.432345991222,175
-2839.432345991222,176
-2839.432345991222,177
-2839.4612324291734,178
-2839.432345991222,179
-2839.432345991222,180
-2855.099547398665,181
-2839.432345991222,182
-2839.432345991222,183
-2839.432345991222,184
-2839.432345991222,185
-2839.432345991222,186
-2839.432345991222,187
-2839.432345991222,188
-4723.7445881951735,189
-2839.432345991222,190
-6943.248076363153,191
-2839.4347998459466,192
-2839.432345991222,193
-2839.432345991222,194
-2839.432345991222,195
-5001.149741696134,196
-5001.149741696134,197
-4066.3929926437054,198
-7245.978906164579,199
-2839.432345991222,200
-6665.884584661602,201
-13437.456648785246,202
-8953.94351934924,203
-6814.448605812448,204
-4877.77649682113,205
-8852.792756642357,206
-4781.572342457651,207
-17009.398151040677,208
-7039.493892526043,209
-4723.7445881951735,210
-2839.432345991222,211
-2839.432345991222,212
-9284.323056994488,213
-2839.432345991222,214
-2839.432345991222,215
-4877.77649682113,216
-9284.323056994488,217
-2839.432345991222,218
-6814.448605812448,219
